game_id,venue,venue_time_zone_tz
2014020498,Nationwide Arena,EDT
2014021033,Canadian Tire Centre,EDT
2014020717,BB&T Center,EDT
2014020081,Nassau Coliseum,EDT
2014021040,STAPLES Center,PDT
2014020470,Nationwide Arena,EDT
2014020755,Honda Center,PDT
2014020674,MTS Centre,CDT
2014020599,Wells Fargo Center,EDT
2014020282,Centre Bell,EDT
2014020801,Centre Bell,EDT
2014021024,PNC Arena,EDT
2014020482,Centre Bell,EDT
2014020954,Pepsi Center,MDT
2014020556,Nationals Park,EDT
2014020521,Scottrade Center,CDT
2014020118,STAPLES Center,PDT
2014021161,STAPLES Center,PDT
2014020473,SAP Center at San Jose,PDT
2014020544,SAP Center at San Jose,PDT
2014020082,Centre Bell,EDT
2014020059,Air Canada Centre,EDT
2014021006,Joe Louis Arena,EDT
2014021000,Verizon Center,EDT
2014020680,Xcel Energy Center,CDT
2014020619,Gila River Arena,MST
2014020536,MTS Centre,CDT
2014020027,Bridgestone Arena,CDT
2014021062,Gila River Arena,MST
2014020137,Rexall Place,MDT
2014020306,Rexall Place,MDT
2014020911,Air Canada Centre,EDT
2014021012,SAP Center at San Jose,PDT
2014020104,Rexall Place,MDT
2014020737,SAP Center at San Jose,PDT
2014020644,TD Garden,EDT
2014020337,First Niagara Center,EDT
2014021028,Pepsi Center,MDT
2014020587,Bridgestone Arena,CDT
2014020322,Honda Center,PDT
2014020403,PNC Arena,EDT
2014020965,PNC Arena,EDT
2014020262,Joe Louis Arena,EDT
2014020497,Verizon Center,EDT
2014020744,SAP Center at San Jose,PDT
2014020256,Nationwide Arena,EDT
2014020718,Scottrade Center,CDT
2014020730,TD Garden,EDT
2014020145,Xcel Energy Center,CDT
2014021010,Rogers Arena,PDT
2014020195,STAPLES Center,PDT
2014020867,Prudential Center,EDT
2014021152,SAP Center at San Jose,PDT
2014020740,CONSOL Energy Center,EDT
2014020407,PNC Arena,EDT
2014020471,Centre Bell,EDT
2014020704,Bridgestone Arena,CDT
2014020685,Verizon Center,EDT
2014020797,TD Garden,EDT
2014020044,Amalie Arena,EDT
2014020085,United Center,CDT
2014020342,Scottrade Center,CDT
2014020485,CONSOL Energy Center,EDT
